id,value
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Acalyphoideae.family_Epiprineae,
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Acalyphoideae.family_Epiprineae.family_Epiprininae,8
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Acalyphoideae.family_Plukenetieae,
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Acalyphoideae.family_Plukenetieae.family_Plukenetiinae,8
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Acalyphoideae.family_Plukenetieae.family_Tragiinae,8
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Acalyphoideae.family_Pycnocomeae,
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Acalyphoideae.family_Pycnocomeae.family_Blumeodendrinae,8
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Crotonoideae,
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Crotonoideae.family_Adenoclineae,
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Crotonoideae.family_Adenoclineae.family_Adenoclininae,8
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Crotonoideae.family_Aleuritideae,
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Crotonoideae.family_Aleuritideae.family_Grosserinae,8
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Crotonoideae.family_Codiaeae,7
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Crotonoideae.family_Crotoneae,7
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Crotonoideae.family_Jatropheae,7
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Crotonoideae.family_Manihoteae,7
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Crotonoideae.family_Micrandreae,7
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Crotonoideae.family_Ricinocarpeae,
kingdom_Plant.class_Eudicots.order_Rosids.order_Malpighiales.family_Euphorbiaceae.family_Crotonoideae.family_Ricinocarpeae.family_Bertyinae,8
